index,CLOSE_15m_tick_1,CLOSE_30m_tick_1,CLOSE_15m_tick_2,CLOSE_30m_tick_2,CLOSE_15m_tick_3,CLOSE_30m_tick_3,CLOSE_15m_tick_4,CLOSE_30m_tick_4,CLOSE_15m_tick_5,CLOSE_30m_tick_5,CLOSE_15m_tick_6,CLOSE_30m_tick_6,CLOSE_15m_tick_7,CLOSE_30m_tick_7,CLOSE_15m_tick_8,CLOSE_30m_tick_8
2005-05-02 00:00:00,,,,,,,,,,,,,,,,
2005-05-02 01:00:00,1.2862,1.2862,1.2861,1.2863,1.2863,,1.2866,,,,,,,,,
2005-05-02 02:00:00,1.2853,1.2853,1.2854,1.2856,1.2856,1.2862,1.2853,1.2863,1.2862,,1.2861,,1.2863,,1.2866,
2005-05-02 03:00:00,1.2843,1.2843,1.2842,1.2843,1.2843,1.2853,1.2846,1.2856,1.2853,1.2862,1.2854,1.2863,1.2856,,1.2853,
2005-05-02 04:00:00,1.2844,1.2844,1.2847,1.2848,1.2848,1.2843,1.2841,1.2843,1.2843,1.2853,1.2842,1.2856,1.2843,1.2862,1.2846,1.2863
2005-05-02 05:00:00,1.2855,1.2855,1.2848,1.2846,1.2846,1.2844,1.2846,1.2848,1.2844,1.2843,1.2847,1.2843,1.2848,1.2853,1.2841,1.2856
2005-05-02 06:00:00,1.2851,1.2851,1.2856,1.2856,1.2856,1.2855,1.2854,1.2846,1.2855,1.2844,1.2848,1.2848,1.2846,1.2843,1.2846,1.2843
2005-05-02 07:00:00,1.2854,1.2854,1.2852,1.2853,1.2853,1.2851,1.2856,1.2856,1.2851,1.2855,1.2856,1.2846,1.2856,1.2844,1.2854,1.2848
2005-05-02 08:00:00,1.2858,1.2858,1.2857,1.2855,1.2855,1.2854,1.2856,1.2853,1.2854,1.2851,1.2852,1.2856,1.2853,1.2855,1.2856,1.2846
2005-05-02 09:00:00,1.2861,1.2861,1.2859,1.2857,1.2857,1.2858,1.2855,1.2855,1.2858,1.2854,1.2857,1.2853,1.2855,1.2851,1.2856,1.2856
