DATE_TIME,log_return,stl_trend,stl_seasonal,stl_residual,CLOSE_wav_detail_L1,CLOSE_wav_detail_L2,CLOSE_wav_approx_L2,CLOSE_mtm_band_1_0.000_0.010,CLOSE_mtm_band_2_0.010_0.060,CLOSE_mtm_band_3_0.060_0.200,CLOSE_mtm_band_4_0.200_0.500,RSI,MACD,MACD_Histogram,MACD_Signal,EMA,Stochastic_%K,Stochastic_%D,ADX,DI+,DI-,ATR,CCI,WilliamsR,Momentum,ROC,OPEN,HIGH,LOW,BH-BL,BH-BO,BO-BL,S&P500_Close,vix_close,CLOSE_15m_tick_1,CLOSE_15m_tick_2,CLOSE_15m_tick_3,CLOSE_15m_tick_4,CLOSE_15m_tick_5,CLOSE_15m_tick_6,CLOSE_15m_tick_7,CLOSE_15m_tick_8,CLOSE_30m_tick_1,CLOSE_30m_tick_2,CLOSE_30m_tick_3,CLOSE_30m_tick_4,CLOSE_30m_tick_5,CLOSE_30m_tick_6,CLOSE_30m_tick_7,CLOSE_30m_tick_8,day_of_month,hour_of_day,day_of_week,CLOSE
2005-05-11 00:00:00,0.0029550159533192066,1.2855649,0.0022720813,1.3038564e-05,1.8626451e-08,9.313226e-10,1.2840497,0.0015102467,0.00021466827,6.4904534e-06,1.1154464e-06,60.64633636111566,0.012741615917140575,7.423628750784369e-05,0.011270533022247023,1.287486097887274,79.95267072346302,4.418392352087126,3.0838895972627376,21.06381386847847,12.740814158254194,-6.5590752632962195,60.5620717686557,-26.47058823529428,0.00011999999999989797,0.009318723645476767,1.28775,1.28805,1.28745,0.0005999999999999339,0.00029999999999996696,0.00029999999999996696,1171.109985,14.449999809265137,1.2879,1.2879,1.2882,1.288,1.2881,1.2885,1.2873,1.2871,1.2883,1.2879,1.288,1.2885,1.2871,1.2874,1.2868,1.2872,11,0,2,1.28785
2005-05-11 01:00:00,0.0,1.2857251,0.0021118643,1.3041402e-05,1.8626451e-08,9.313226e-10,1.2840497,0.0015047502,0.00022232046,6.7204087e-06,1.1520365e-06,65.03130773912068,0.012783778172072394,9.355207601119517e-05,0.011293658658275472,1.2877158982714059,81.7275185936456,4.400141409960353,3.1203586016664633,23.611836880363796,11.84101514145371,-6.55994232555477,115.23181606862917,-4.411764705878751,0.0011700000000001154,0.09086814023207222,1.28775,1.28805,1.28745,0.0005999999999999339,0.00029999999999996696,0.00029999999999996696,1171.109985,14.449999809265137,1.2879,1.2879,1.2882,1.288,1.2881,1.2885,1.2873,1.2871,1.2883,1.2879,1.288,1.2885,1.2871,1.2874,1.2868,1.2872,11,0,2,1.28875
2005-05-11 02:00:00,0.0,1.2858872,0.001949772,1.304424e-05,1.8626451e-08,9.313226e-10,1.2840497,0.0014978263,0.00023002364,6.9535567e-06,1.1891249e-06,53.59755646082042,0.012679524534406315,-9.62989450941005e-06,0.011291278218043925,1.2876130076766048,72.66884531590534,4.358199316353584,3.107670339571256,20.494396562812657,14.049910011435763,-6.492453918885091,31.445018291395197,-51.11111111111099,-0.0005100000000000104,-0.03960672848422801,1.28775,1.28805,1.28745,0.0005999999999999339,0.00029999999999996696,0.00029999999999996696,1171.109985,14.449999809265137,1.2879,1.2879,1.2882,1.288,1.2881,1.2885,1.2873,1.2871,1.2883,1.2879,1.288,1.2885,1.2871,1.2874,1.2868,1.2872,11,0,2,1.28715
2005-05-11 03:00:00,0.0,1.2860512,0.0017858048,1.3047078e-05,-4.5493245e-05,0.0005025724,1.2838199,0.0014893822,0.0002377614,7.189349e-06,1.226619e-06,52.970702054708774,0.012579878813448128,-8.843367361105632e-05,0.011269417788962526,1.2875106426444947,60.820540102347685,4.273034086775776,3.0901720298491866,19.694329817773973,13.989404133443475,-6.5267413897180795,-120.25291828797094,-62.01550387596726,-0.00031000000000003247,-0.02408028834203583,1.28775,1.28805,1.28745,0.0005999999999999339,0.00029999999999996696,0.00029999999999996696,1171.109985,14.449999809265137,1.2879,1.2879,1.2882,1.288,1.2881,1.2885,1.2873,1.2871,1.2883,1.2879,1.288,1.2885,1.2871,1.2874,1.2868,1.2872,11,0,2,1.28705
2005-05-11 04:00:00,0.0,1.286217,0.0016199625,1.3049916e-05,0.00015347451,0.0005854452,1.283525,0.0014796396,0.00024551677,7.427194e-06,1.2644418e-06,50.42999110847916,0.012461342969369765,-0.0001667703912127574,0.011228191555114984,1.2873541621636773,34.759171602144924,4.026830103418154,3.050690221718704,18.804924183383743,15.364768753555728,-6.5546375782774,-164.80899138130664,-82.59587020648704,-0.0006099999999999994,-0.04738747416994231,1.28775,1.28805,1.28745,0.0005999999999999339,0.00029999999999996696,0.00029999999999996696,1171.109985,14.449999809265137,1.2879,1.2879,1.2882,1.288,1.2881,1.2885,1.2873,1.2871,1.2883,1.2879,1.288,1.2885,1.2871,1.2874,1.2868,1.2872,11,0,2,1.28665
2005-05-11 05:00:00,0.0,1.2863847,0.0014522452,1.3052753e-05,0.00040415768,0.0004970869,1.2834907,0.0014685215,0.00025327195,7.666499e-06,1.3025191e-06,51.124264014265236,0.012369534419823398,-0.00020778071153010672,0.011176825046200963,1.287246132679372,24.624491467464594,3.690579700974348,3.0272300011924416,19.37055350809895,14.532348727440795,-6.5730457244710445,-113.65069356868892,-81.51515151515198,-0.0003700000000002035,-0.028746125100044553,1.28775,1.28805,1.28745,0.0005999999999999339,0.00029999999999996696,0.00029999999999996696,1171.109985,14.449999809265137,1.2879,1.2879,1.2882,1.288,1.2881,1.2885,1.2873,1.2871,1.2883,1.2879,1.288,1.2885,1.2871,1.2874,1.2868,1.2872,11,0,2,1.28676
2005-05-11 06:00:00,0.0,1.2865543,0.0012826527,1.3055591e-05,0.00053402875,0.00046861172,1.2839949,0.0014562588,0.0002610087,7.906716e-06,1.3407536e-06,60.31957184580084,0.012424207812138315,-0.00012194025730117013,0.011146678356654713,1.2874650176467588,35.19531599177827,3.450822954044316,3.062353619899367,24.36641327723986,12.842861167416093,-6.523564884298944,55.1280077984585,-30.303030303026222,0.000500000000000167,0.038821382817668934,1.28775,1.28805,1.28745,0.0005999999999999339,0.00029999999999996696,0.00029999999999996696,1171.109985,14.449999809265137,1.2879,1.2879,1.2882,1.288,1.2881,1.2885,1.2873,1.2871,1.2883,1.2879,1.288,1.2885,1.2871,1.2874,1.2868,1.2872,11,0,2,1.28845
2005-05-11 07:00:00,0.0,1.2867258,0.0011111853,1.3058428e-05,0.0005816864,0.00046861172,1.2848276,0.0014428624,0.00026870825,8.147334e-06,1.3790311e-06,62.563632774763754,0.012499260447778614,-3.6757186980909164e-05,0.011137590879990897,1.287735014438257,57.67676767676958,3.667796896712682,3.100001117187944,24.089110448573166,12.17328051132292,-6.544128357917944,138.4931788578954,-15.151515151513117,0.0013000000000000789,0.1009591115598244,1.28775,1.28805,1.28745,0.0005999999999999339,0.00029999999999996696,0.00029999999999996696,1171.109985,14.449999809265137,1.2879,1.2879,1.2882,1.288,1.2881,1.2885,1.2873,1.2871,1.2883,1.2879,1.288,1.2885,1.2871,1.2874,1.2868,1.2872,11,0,2,1.28895
2005-05-11 08:00:00,0.0,1.2868991,0.00093784276,1.3061265e-05,0.00054512825,0.00046861172,1.285878,0.0014284234,0.00027635126,8.38782e-06,1.4172398e-06,59.31252121193723,0.01251458157011086,-1.69945930255385e-05,0.01113338928007576,1.2878741027222103,68.33758142169528,3.984093496742564,3.0269868218959433,18.7306202944808,18.612651711851637,-6.3666362404551355,100.86491871575716,-49.532710280374914,4.999999999988347e-05,0.0038806317668425992,1.28775,1.28805,1.28745,0.0005999999999999339,0.00029999999999996696,0.00029999999999996696,1171.109985,14.449999809265137,1.2879,1.2879,1.2882,1.288,1.2881,1.2885,1.2873,1.2871,1.2883,1.2879,1.288,1.2885,1.2871,1.2874,1.2868,1.2872,11,0,2,1.2885
2005-05-11 09:00:00,0.0,1.2870743,0.00076262513,1.3064103e-05,0.0004731603,0.00046861172,1.2868354,0.0014130371,0.00028391846,8.627584e-06,1.455285e-06,57.17927026405725,0.012494749599319208,-2.9660890394312463e-05,0.011126056129283066,1.2879333567727174,60.05852921740789,4.127526127206652,2.954055383131939,17.12073722909218,17.01290795954698,-6.350875165893443,96.6306836768289,-55.14018691588836,0.00045000000000006146,0.03494467093768678,1.28775,1.28805,1.28745,0.0005999999999999339,0.00029999999999996696,0.00029999999999996696,1171.109985,14.449999809265137,1.2879,1.2879,1.2882,1.288,1.2881,1.2885,1.2873,1.2871,1.2883,1.2879,1.288,1.2885,1.2871,1.2874,1.2868,1.2872,11,0,2,1.2882
2005-05-11 10:00:00,0.0,1.2872515,0.00058553246,1.306694e-05,0.00057264883,0.00046861172,1.2874303,0.0013967342,0.00029139,8.8659845e-06,1.4930785e-06,59.03061167328985,0.01249880954054864,-2.0439915704049613e-05,0.011121002676390563,1.2880454737231324,48.909657320872064,4.079263456088054,2.8812129598649485,16.39797128289341,16.29469411428801,-6.381850474339281,82.72038939967244,-48.5981308411206,0.000700000000000145,0.054354156151737006,1.28775,1.28805,1.28745,0.0005999999999999339,0.00029999999999996696,0.00029999999999996696,1171.109985,14.449999809265137,1.2879,1.2879,1.2882,1.288,1.2881,1.2885,1.2873,1.2871,1.2883,1.2879,1.288,1.2885,1.2871,1.2874,1.2868,1.2872,11,0,2,1.28855
