1.17626,1.17374,1.1741,2860,0.00252,0.14285714,-0.50793651,1.18001586,46.62544592,0.00094607,-0.00035887,11.4545235,-115.6752179,0.002747,49.556592551.17547273,37.9182183,-0.00054868,-0.000359,23.40353716,-44.63497507,0.00251625,31.177300621.17200753,51.54796954,0.01796388,-0.0001063,3.70230006,-46.46856183,0.0029728,72.44296834140747.00000000,,13,3,0
1.17543,1.173,1.17399,4780,0.00243,0.40740741,-0.04526749,1.17984929,46.33941371,0.00086048,-0.0003643,11.31329057,-118.4905132,0.00276757,48.504752871.17516823,35.6838351,-0.00063194,-0.00031224,19.95153316,-53.10425056,0.00263,33.217707231.17201499,51.512875,0.01793809,-0.00010863,3.69376597,-50.02619803,0.00297075,72.35349763135967.00000000,,13,3,4
1.17707,1.17294,1.17605,7500,0.00413,0.75302663,0.49878935,1.17972755,47.38220022,0.00077555,-0.00034685,11.08116278,-95.17791424,0.00277714,47.457490061.17524807,47.04085681,-0.00069194,-0.0001036,19.81747922,44.32706416,0.0028625,36.677612291.17202752,51.61795263,0.01791199,-0.00010809,3.68673985,-38.76283086,0.00297284,72.26409852143467.00000000,,13,3,8
1.18258,1.17569,1.18247,9691,0.00689,0.98403483,0.93033382,1.17975783,50.96100573,0.0006973,-0.00025965,10.85725932,-17.51516584,0.00282986,46.438125501.17648239,69.68635928,-0.00068934,0.00056826,26.69595096,253.2083222,0.00345,45.633073401.17205880,52.00367572,0.01788635,-0.00009858,3.68262011,2.92745732,0.00297963,72.17490811153158.00000000,,13,3,12
1.18404,1.18211,1.18394,4009,0.00193,0.94818653,0.77202073,1.17986345,52.63687269,0.00063106,-0.00014717,10.73386435,23.53937948,0.00280571,45.452845211.17804352,75.76068533,-0.00060226,0.00123008,34.49954567,165.323281,0.00298125,58.329446161.17209962,52.19944536,0.01786188,-0.00008546,3.68016257,24.25175219,0.00297227,72.08595384157167.00000000,,13,3,16
1.18437,1.18307,1.18321,2586,0.0013,0.10769231,-0.56153846,1.17996491,52.60821626,0.00058286,-0.00005547,10.66559136,23.29432222,0.00274329,44.506744431.17924830,75.48906788,-0.00041071,0.00153161,41.75413043,104.7993168,0.002825,70.749709981.17214013,52.19609437,0.0178394,-0.00007446,3.67863759,23.80494073,0.00296991,71.99721053154581.00000000,,13,3,20
1.18376,1.18107,1.18263,4501,0.00269,0.57992565,-0.21561338,1.18003695,51.97165527,0.00054983,0.00000584,10.42903616,9.6987312,0.00275929,43.595422021.17997590,69.2010889,-0.00016841,0.00149984,34.59518366,65.76905399,0.00298125,79.727725331.17217715,52.12175907,0.01781864,-0.0000669,3.67425031,16.23942109,0.00297177,71.90865534150080.00000000,,14,4,0
1.18446,1.18121,1.18325,7026,0.00325,0.62769231,0.19384615,1.18012161,52.29474533,0.00053133,0.0000585,10.24417687,18.04856756,0.00278286,42.733189651.18065736,70.73798726,0.00010212,0.00139337,31.31406178,60.0402955,0.0031425,84.206542511.17221588,52.15941659,0.01779957,-0.00006016,3.67066459,20.25747468,0.00297207,71.82027775157106.00000000,,14,4,4
1.18624,1.17706,1.17769,12342,0.00918,0.06862745,-0.61111111,1.18010889,50.07822134,0.00052018,0.00005496,9.96468929,-31.86590713,0.00287486,41.889378621.18043795,51.63842762,0.00033594,0.00088035,26.20356596,-15.05560308,0.003975,79.903120141.17224246,51.89422641,0.01778136,-0.00006032,3.6653576,-6.65208397,0.00298396,71.73190663144764.00000000,,14,4,8
1.18013,1.17717,1.17875,5279,0.00296,0.53378378,0.35135135,1.1800692,49.46644343,0.00051575,0.00003153,9.69307461,-45.41013048,0.00284286,41.069548851.18005174,47.42897062,0.00053584,0.00035561,22.22873589,-65.91917776,0.00404125,72.611902351.17226548,51.81831554,0.01776396,-0.00006303,3.66006953,-14.48089861,0.00298377,71.64356378139485.00000000,,14,4,12
