datetime,OPEN,HIGH,LOW,CLOSE,BC-BO,BH-BL,BH-BO,BO-BL,S&P500_Close,vix_close,CLOSE_15m_tick_1,CLOSE_15m_tick_2,CLOSE_15m_tick_3,CLOSE_15m_tick_4,CLOSE_15m_tick_5,CLOSE_15m_tick_6,CLOSE_15m_tick_7,CLOSE_15m_tick_8,CLOSE_30m_tick_1,CLOSE_30m_tick_2,CLOSE_30m_tick_3,CLOSE_30m_tick_4,CLOSE_30m_tick_5,CLOSE_30m_tick_6,CLOSE_30m_tick_7,CLOSE_30m_tick_8,day_of_month,hour_of_day,day_of_week
2005-05-02 16:00:00,1.28557,1.28607,1.2839,1.28442,-0.00115,0.0021700000000000053,0.0004999999999999449,0.0016700000000000603,1162.160034,15.119999885559082,1.2846,1.2867,1.2863,1.2863,1.2864,1.2858,1.2863,1.2867,1.2842,1.2867,1.2863,1.2858,1.2867,1.286,1.2865,1.2871,2,16,0
2005-05-02 17:00:00,1.28442,1.28512,1.28422,1.28502,0.0006,0.0009000000000001229,0.000700000000000145,0.00019999999999997797,1162.160034,15.119999885559082,1.2846,1.2842,1.2842,1.2842,1.2846,1.2867,1.2863,1.2863,1.2855,1.2842,1.2842,1.2867,1.2863,1.2858,1.2867,1.286,2,17,0
2005-05-02 18:00:00,1.28502,1.2862,1.28502,1.286,0.00098,0.0011799999999999589,0.0011799999999999589,0.0,1162.160034,15.119999885559082,1.2855,1.2858,1.2854,1.2855,1.2846,1.2842,1.2842,1.2842,1.2844,1.2858,1.2855,1.2842,1.2842,1.2867,1.2863,1.2858,2,18,0
2005-05-02 19:00:00,1.286,1.2862,1.2856,1.2858,-0.0002,0.0005999999999999339,0.00019999999999997797,0.00039999999999995595,1162.160034,15.119999885559082,1.2845,1.2846,1.2849,1.2844,1.2855,1.2858,1.2854,1.2855,1.2848,1.2846,1.2844,1.2858,1.2855,1.2842,1.2842,1.2867,2,19,0
2005-05-02 20:00:00,1.2858,1.2864,1.2857,1.2863,0.0005,0.0006999999999999229,0.0005999999999999339,9.999999999998899e-05,1162.160034,15.119999885559082,1.2857,1.2853,1.2852,1.2848,1.2845,1.2846,1.2849,1.2844,1.2855,1.2853,1.2848,1.2846,1.2844,1.2858,1.2855,1.2842,2,20,0
2005-05-02 21:00:00,1.2863,1.2864,1.2851,1.2851,-0.0012,0.0013000000000000789,9.999999999998899e-05,0.0012000000000000899,1162.160034,15.119999885559082,1.2863,1.2863,1.2856,1.2855,1.2857,1.2853,1.2852,1.2848,1.2861,1.2863,1.2855,1.2853,1.2848,1.2846,1.2844,1.2858,2,21,0
2005-05-02 22:00:00,1.2852,1.2853,1.2841,1.2845,-0.0007,0.0012000000000000899,0.00010000000000021103,0.0010999999999998789,1162.160034,15.119999885559082,1.2867,1.286,1.286,1.2861,1.2863,1.2863,1.2856,1.2855,1.2861,1.286,1.2861,1.2863,1.2855,1.2853,1.2848,1.2846,2,22,0
2005-05-02 23:00:00,1.2844,1.2858,1.2844,1.2854,0.001,0.0014000000000000679,0.0014000000000000679,0.0,1162.160034,15.119999885559082,1.2864,1.2864,1.2863,1.2861,1.2867,1.286,1.286,1.2861,1.2864,1.2864,1.2861,1.286,1.2861,1.2863,1.2855,1.2853,2,23,0
2005-05-03 00:00:00,1.2855,1.2856,1.2849,1.2852,-0.0003,0.000700000000000145,9.999999999998899e-05,0.000600000000000156,1161.170044,14.529999732971191,1.2844,1.2852,1.2856,1.2864,1.2864,1.2864,1.2863,1.2861,1.2845,1.2852,1.2864,1.2864,1.2861,1.286,1.2861,1.2863,3,0,1
2005-05-03 01:00:00,1.2851,1.2852,1.2832,1.2833,-0.0018,0.0020000000000000018,9.999999999998899e-05,0.0019000000000000128,1161.170044,14.529999732971191,1.2852,1.2848,1.2849,1.2845,1.2844,1.2852,1.2856,1.2864,1.2858,1.2848,1.2845,1.2852,1.2864,1.2864,1.2861,1.286,3,1,1
2005-05-03 02:00:00,1.2833,1.2836,1.2831,1.2833,0.0,0.000500000000000167,0.00029999999999996696,0.00020000000000020002,1161.170044,14.529999732971191,1.2853,1.2855,1.2852,1.2858,1.2852,1.2848,1.2849,1.2845,1.2857,1.2855,1.2858,1.2848,1.2845,1.2852,1.2864,1.2864,3,2,1
2005-05-03 03:00:00,1.2833,1.2837,1.2833,1.2835,0.0002,0.00039999999999995595,0.00039999999999995595,0.0,1161.170044,14.529999732971191,1.2853,1.2852,1.2858,1.2857,1.2853,1.2855,1.2852,1.2858,1.2851,1.2852,1.2857,1.2855,1.2858,1.2848,1.2845,1.2852,3,3,1
2005-05-03 04:00:00,1.2835,1.2837,1.2831,1.2832,-0.0003,0.000600000000000156,0.00019999999999997797,0.000400000000000178,1161.170044,14.529999732971191,1.2836,1.2837,1.285,1.2851,1.2853,1.2852,1.2858,1.2857,1.2834,1.2837,1.2851,1.2852,1.2857,1.2855,1.2858,1.2848,3,4,1
2005-05-03 05:00:00,1.2831,1.2837,1.283,1.28355,0.00045,0.000700000000000145,0.000600000000000156,9.999999999998899e-05,1161.170044,14.529999732971191,1.2837,1.2836,1.2837,1.2834,1.2836,1.2837,1.285,1.2851,1.2836,1.2836,1.2834,1.2837,1.2851,1.2852,1.2857,1.2855,3,5,1
2005-05-03 06:00:00,1.28365,1.2852,1.28335,1.2849,0.00125,0.0018499999999999073,0.0015499999999999403,0.00029999999999996696,1161.170044,14.529999732971191,1.2837,1.2836,1.2835,1.2836,1.2837,1.2836,1.2837,1.2834,1.2834,1.2836,1.2836,1.2836,1.2834,1.2837,1.2851,1.2852,3,6,1
2005-05-03 07:00:00,1.2849,1.2862,1.2847,1.28595,0.00105,0.0015000000000000568,0.0013000000000000789,0.00019999999999997797,1161.170044,14.529999732971191,1.2833,1.2834,1.2833,1.2834,1.2837,1.2836,1.2835,1.2836,1.2837,1.2834,1.2834,1.2836,1.2836,1.2836,1.2834,1.2837,3,7,1
2005-05-03 08:00:00,1.28595,1.28646,1.28476,1.2862,0.00025,0.0017000000000000348,0.0005100000000000104,0.0011900000000000244,1161.170044,14.529999732971191,1.2849,1.2836,1.2837,1.2837,1.2833,1.2834,1.2833,1.2834,1.2838,1.2836,1.2837,1.2834,1.2834,1.2836,1.2836,1.2836,3,8,1
2005-05-03 09:00:00,1.2862,1.2875,1.2861,1.2869,0.0007,0.0014000000000000679,0.0013000000000000789,9.999999999998899e-05,1161.170044,14.529999732971191,1.2859,1.2848,1.2845,1.2838,1.2849,1.2836,1.2837,1.2837,1.286,1.2848,1.2838,1.2836,1.2837,1.2834,1.2834,1.2836,3,9,1
2005-05-03 10:00:00,1.2869,1.2869,1.2856,1.2858,-0.0011,0.0012999999999998568,0.0,0.0012999999999998568,1161.170044,14.529999732971191,1.2853,1.2859,1.2853,1.286,1.2859,1.2848,1.2845,1.2838,1.2852,1.2859,1.286,1.2848,1.2838,1.2836,1.2837,1.2834,3,10,1
2005-05-03 11:00:00,1.2858,1.2861,1.28486,1.2859,0.0001,0.0012400000000001299,0.00029999999999996696,0.0009400000000001629,1161.170044,14.529999732971191,1.2871,1.2864,1.2857,1.2852,1.2853,1.2859,1.2853,1.286,1.2869,1.2864,1.2852,1.2859,1.286,1.2848,1.2838,1.2836,3,11,1
2005-05-03 12:00:00,1.2859,1.2865,1.28475,1.286,0.0001,0.0017499999999999183,0.0005999999999999339,0.0011499999999999844,1161.170044,14.529999732971191,1.2872,1.2873,1.2867,1.2869,1.2871,1.2864,1.2857,1.2852,1.2864,1.2873,1.2869,1.2864,1.2852,1.2859,1.286,1.2848,3,12,1
2005-05-03 13:00:00,1.286,1.28993,1.2859,1.2895,0.0035,0.004029999999999978,0.003929999999999989,9.999999999998899e-05,1161.170044,14.529999732971191,1.285,1.2858,1.2864,1.2864,1.2872,1.2873,1.2867,1.2869,1.2858,1.2858,1.2864,1.2873,1.2869,1.2864,1.2852,1.2859,3,13,1
2005-05-03 14:00:00,1.2895,1.28999,1.28788,1.28859,-0.00091,0.0021100000000000563,0.0004899999999998794,0.0016200000000001769,1161.170044,14.529999732971191,1.2859,1.2861,1.2857,1.2858,1.285,1.2858,1.2864,1.2864,1.286,1.2861,1.2858,1.2858,1.2864,1.2873,1.2869,1.2864,3,14,1
2005-05-03 15:00:00,1.28859,1.2896,1.28835,1.2888,0.00021,0.0012499999999999734,0.0010100000000001774,0.00023999999999979593,1161.170044,14.529999732971191,1.2864,1.286,1.2852,1.286,1.2859,1.2861,1.2857,1.2858,1.2892,1.286,1.286,1.2861,1.2858,1.2858,1.2864,1.2873,3,15,1
2005-05-03 16:00:00,1.2888,1.2901,1.2887,1.2889,0.0001,0.0014000000000000679,0.0013000000000000789,9.999999999998899e-05,1161.170044,14.529999732971191,1.289,1.2894,1.2885,1.2892,1.2864,1.286,1.2852,1.286,1.2885,1.2894,1.2892,1.286,1.286,1.2861,1.2858,1.2858,3,16,1
2005-05-03 17:00:00,1.2889,1.2891,1.2884,1.2888,-0.0001,0.0006999999999999229,0.00019999999999997797,0.0004999999999999449,1161.170044,14.529999732971191,1.2886,1.289,1.2886,1.2885,1.289,1.2894,1.2885,1.2892,1.2891,1.289,1.2885,1.2894,1.2892,1.286,1.286,1.2861,3,17,1
2005-05-03 18:00:00,1.2888,1.29135,1.28515,1.2865,-0.0023,0.006199999999999983,0.0025500000000000522,0.003649999999999931,1161.170044,14.529999732971191,1.2892,1.2889,1.289,1.2891,1.2886,1.289,1.2886,1.2885,1.2896,1.2889,1.2891,1.289,1.2885,1.2894,1.2892,1.286,3,18,1
2005-05-03 19:00:00,1.2865,1.29093,1.286,1.28883,0.00233,0.004929999999999879,0.004429999999999934,0.0004999999999999449,1161.170044,14.529999732971191,1.2886,1.289,1.2893,1.2896,1.2892,1.2889,1.289,1.2891,1.2892,1.289,1.2896,1.2889,1.2891,1.289,1.2885,1.2894,3,19,1
2005-05-03 20:00:00,1.28883,1.28963,1.28713,1.28713,-0.0017,0.0024999999999999467,0.0008000000000001339,0.0016999999999998128,1161.170044,14.529999732971191,1.289,1.2888,1.2888,1.2892,1.2886,1.289,1.2893,1.2896,1.2865,1.2888,1.2892,1.289,1.2896,1.2889,1.2891,1.289,3,20,1
2005-05-03 21:00:00,1.28713,1.28733,1.28673,1.28723,0.0001,0.000600000000000156,0.00019999999999997797,0.000400000000000178,1161.170044,14.529999732971191,1.2881,1.2865,1.2874,1.2865,1.289,1.2888,1.2888,1.2892,1.2873,1.2865,1.2865,1.2888,1.2892,1.289,1.2896,1.2889,3,21,1
2005-05-03 22:00:00,1.28733,1.28853,1.28703,1.28843,0.0011,0.0015000000000000568,0.0011999999999998678,0.000300000000000189,1161.170044,14.529999732971191,1.2884,1.2891,1.2877,1.2873,1.2881,1.2865,1.2874,1.2865,1.2883,1.2891,1.2873,1.2865,1.2865,1.2888,1.2892,1.289,3,22,1
2005-05-03 23:00:00,1.28853,1.28853,1.28763,1.28783,-0.0007,0.0008999999999999009,0.0,0.0008999999999999009,1161.170044,14.529999732971191,1.2871,1.2875,1.2874,1.2883,1.2884,1.2891,1.2877,1.2873,1.2869,1.2875,1.2883,1.2891,1.2873,1.2865,1.2865,1.2888,3,23,1
2005-05-04 00:00:00,1.28783,1.28883,1.28763,1.28863,0.0008,0.0011999999999998678,0.0009999999999998899,0.00019999999999997797,1175.650024,13.850000381469728,1.2873,1.2874,1.2874,1.2869,1.2871,1.2875,1.2874,1.2883,1.2874,1.2874,1.2869,1.2875,1.2883,1.2891,1.2873,1.2865,4,0,2
2005-05-04 01:00:00,1.28863,1.29623,1.28853,1.29623,0.0076,0.00770000000000004,0.007600000000000051,9.999999999998899e-05,1175.650024,13.850000381469728,1.2878,1.2888,1.2877,1.2874,1.2873,1.2874,1.2874,1.2869,1.288,1.2888,1.2874,1.2874,1.2869,1.2875,1.2883,1.2891,4,1,2
2005-05-04 02:00:00,1.29633,1.29633,1.29433,1.29613,-0.0002,0.0020000000000000018,0.0,0.0020000000000000018,1175.650024,13.850000381469728,1.2881,1.288,1.288,1.288,1.2878,1.2888,1.2877,1.2874,1.2884,1.288,1.288,1.2888,1.2874,1.2874,1.2869,1.2875,4,2,2
2005-05-04 03:00:00,1.29603,1.29613,1.29513,1.29573,-0.0003,0.001000000000000112,9.999999999998899e-05,0.0009000000000001229,1175.650024,13.850000381469728,1.2887,1.2888,1.2889,1.2884,1.2881,1.288,1.288,1.288,1.2902,1.2888,1.2884,1.288,1.288,1.2888,1.2874,1.2874,4,3,2
2005-05-04 04:00:00,1.29573,1.29733,1.29563,1.29613,0.0004,0.0017000000000000348,0.0016000000000000458,9.999999999998899e-05,1175.650024,13.850000381469728,1.2947,1.2957,1.2941,1.2902,1.2887,1.2888,1.2889,1.2884,1.2957,1.2957,1.2902,1.2888,1.2884,1.288,1.288,1.2888,4,4,2
2005-05-04 05:00:00,1.29633,1.29663,1.29543,1.29563,-0.0007,0.0011999999999998678,0.00029999999999996696,0.0008999999999999009,1175.650024,13.850000381469728,1.296,1.2962,1.2958,1.2957,1.2947,1.2957,1.2941,1.2902,1.2953,1.2962,1.2957,1.2957,1.2902,1.2888,1.2884,1.288,4,5,2
2005-05-04 06:00:00,1.29553,1.29633,1.29425,1.29475,-0.00078,0.002080000000000082,0.0007999999999999119,0.0012800000000001699,1175.650024,13.850000381469728,1.2957,1.2958,1.2955,1.2953,1.296,1.2962,1.2958,1.2957,1.2971,1.2958,1.2953,1.2962,1.2957,1.2957,1.2902,1.2888,4,6,2
2005-05-04 07:00:00,1.29475,1.29485,1.29276,1.29375,-0.001,0.0020900000000001473,9.999999999998899e-05,0.0019900000000001583,1175.650024,13.850000381469728,1.2965,1.2962,1.2965,1.2971,1.2957,1.2958,1.2955,1.2953,1.2965,1.2962,1.2971,1.2958,1.2953,1.2962,1.2957,1.2957,4,7,2
2005-05-04 08:00:00,1.29375,1.2952,1.29355,1.29455,0.0008,0.0016499999999999293,0.0014499999999999513,0.00019999999999997797,1175.650024,13.850000381469728,1.2962,1.2958,1.2964,1.2965,1.2965,1.2962,1.2965,1.2971,1.2959,1.2958,1.2965,1.2962,1.2971,1.2958,1.2953,1.2962,4,8,2
2005-05-04 09:00:00,1.29455,1.2956,1.29445,1.29465,0.0001,0.0011499999999999844,0.0010499999999999954,9.999999999998899e-05,1175.650024,13.850000381469728,1.2935,1.2946,1.2946,1.2959,1.2962,1.2958,1.2964,1.2965,1.2932,1.2946,1.2959,1.2958,1.2965,1.2962,1.2971,1.2958,4,9,2
2005-05-04 10:00:00,1.29465,1.29615,1.29405,1.29555,0.0009,0.0020999999999999908,0.0014999999999998348,0.000600000000000156,1175.650024,13.850000381469728,1.2945,1.2937,1.2937,1.2932,1.2935,1.2946,1.2946,1.2959,1.2949,1.2937,1.2932,1.2946,1.2959,1.2958,1.2965,1.2962,4,10,2
