datetime,open,high,low,close,volume,BC-BO,CLOSE,CLOSE_stl_trend,CLOSE_stl_seasonal,CLOSE_stl_resid,CLOSE_wav_detail_L1,CLOSE_wav_detail_L2,CLOSE_wav_approx_L2,CLOSE_mtm_band_1_0.000_0.010,CLOSE_mtm_band_2_0.010_0.060,CLOSE_mtm_band_3_0.060_0.200,CLOSE_mtm_band_4_0.200_0.500
2/5/2005 0:00,1.2852,1.2852,1.284,1.2844,0,-0.0008,-0.0008,,,,,,,,,,
2/5/2005 1:00,1.2844,1.2848,1.2839,1.2842,0,-0.0002,-0.0002,,,,,,,,,,
2/5/2005 2:00,1.2843,1.2854,1.2841,1.2851,0,0.0008,0.0008,,,,,,,,,,
2/5/2005 3:00,1.2851,1.2859,1.285,1.2851,0,0.0,0.0,,,,,,,,,,
2/5/2005 4:00,1.2852,1.2859,1.2849,1.2855,0,0.0003,0.0003,,,,,,,,,,
2/5/2005 5:00,1.2854,1.2858,1.2853,1.2854,0,0.0,0.0,,,,,,,,,,
2/5/2005 6:00,1.2854,1.286,1.2852,1.28585,0,0.00045,0.00045,,,,,,,,,,
2/5/2005 7:00,1.28585,1.28605,1.28515,1.28555,0,-0.0003,-0.0003,,,,,,,,,,
2/5/2005 8:00,1.28555,1.28675,1.28555,1.2864,0,0.00085,0.00085,,,,,,,,,,
2/5/2005 9:00,1.2864,1.2868,1.2862,1.2868,0,0.0004,0.0004,,,,,,,,,,
2/5/2005 10:00,1.2867,1.2874,1.2865,1.28715,0,0.00045,0.00045,,,,,,,,,,
2/5/2005 11:00,1.28725,1.28735,1.2858,1.286,0,-0.00125,-0.00125,,,,,,,,,,
2/5/2005 12:00,1.286,1.2872,1.2858,1.2859,0,-0.0001,-0.0001,,,,,,,,,,
2/5/2005 13:00,1.2858,1.28656,1.2857,1.2862,0,0.0004,0.0004,,,,,,,,,,
2/5/2005 14:00,1.2862,1.2868,1.28367,1.28367,0,-0.00253,-0.00253,,,,,,,,,,
2/5/2005 15:00,1.28377,1.28587,1.28377,1.28567,0,0.0019,0.0019,,,,,,,,,,
2/5/2005 16:00,1.28557,1.28607,1.2839,1.28442,0,-0.00115,-0.00115,,,,,,,,,,
2/5/2005 17:00,1.28442,1.28512,1.28422,1.28502,0,0.0006,0.0006,,,,,,,,,,
2/5/2005 18:00,1.28502,1.2862,1.28502,1.286,0,0.00098,0.00098,,,,-9.796677e-05,0.0006969841,0.00019068838,,,,
2/5/2005 19:00,1.286,1.2862,1.2856,1.2858,0,-0.0002,-0.0002,,,,-9.542683e-05,-0.00045661954,-0.00011149399,,,,
